申請ID,申請日,申請者社員ID,案件コード,変更種別,影響度,ステータス
B0485,2025-12-07,E103,P004,コスト変更,高,申請中
B0486,2025-02-05,E102,P005,コスト変更,中,却下
B0487,2025-06-26,E103,P002,図面修正,低,申請中
B0488,2025-04-18,E108,P005,図面修正,低,申請中
B0489,2025-11-10,E103,P005,部品変更,低,却下
B0490,2025-05-21,E102,P002,コスト変更,中,申請中
B0491,2025-04-16,E108,P001,仕様変更,中,承認済
B0492,2025-03-13,E108,P004,図面修正,低,承認待ち
B0493,2025-08-25,E102,P001,仕様変更,高,承認済
B0494,2025-04-02,E102,P004,図面修正,低,却下
B0495,2025-07-23,E106,P001,部品変更,中,申請中
B0496,2025-05-03,E108,P002,部品変更,低,承認済
B0497,2025-07-19,E102,P003,コスト変更,低,承認待ち
B0498,2025-01-08,E102,P004,仕様変更,中,申請中
B0499,2025-05-22,E103,P001,仕様変更,低,承認待ち
B0500,2025-12-01,E103,P004,図面修正,低,承認済
B0501,2025-03-12,E103,P006,図面修正,低,申請中
B0502,2025-01-11,E106,P003,仕様変更,中,申請中
B0503,2025-08-15,E108,P003,仕様変更,中,承認待ち
B0504,2025-06-06,E105,P001,仕様変更,高,申請中
B0505,2025-01-28,E102,P002,仕様変更,中,承認済
B0506,2025-07-05,E103,P001,コスト変更,高,承認済
B0507,2025-04-14,E105,P003,仕様変更,低,承認済
B0508,2025-02-17,E102,P002,部品変更,低,申請中
B0509,2025-07-03,E106,P003,図面修正,中,申請中
B0510,2025-09-15,E102,P003,部品変更,中,承認済
B0511,2025-12-20,E103,P004,図面修正,低,却下
B0512,2025-04-24,E108,P002,部品変更,高,却下
B0513,2025-01-08,E108,P003,仕様変更,中,申請中
B0514,2025-11-13,E105,P001,部品変更,低,承認待ち
B0515,2025-07-16,E102,P002,図面修正,高,申請中
B0516,2025-04-28,E108,P004,図面修正,中,申請中
B0517,2025-10-04,E108,P002,コスト変更,高,申請中
B0518,2025-07-22,E103,P002,図面修正,中,承認済
B0519,2025-07-23,E105,P003,コスト変更,中,承認待ち
B0520,2025-02-07,E103,P005,仕様変更,高,申請中
B0521,2025-03-15,E106,P003,コスト変更,高,承認済
B0522,2025-04-15,E105,P004,図面修正,高,申請中
B0523,2025-03-26,E105,P006,仕様変更,高,承認済
B0524,2025-03-03,E103,P003,コスト変更,低,申請中
B0525,2025-11-10,E105,P002,仕様変更,中,却下
B0526,2025-09-24,E108,P002,仕様変更,中,申請中
B0527,2025-03-04,E102,P001,部品変更,高,承認待ち
B0528,2025-07-12,E102,P005,図面修正,高,申請中
B0529,2025-02-07,E106,P002,仕様変更,中,申請中
B0530,2025-01-15,E102,P002,コスト変更,低,却下
B0531,2025-08-01,E106,P006,コスト変更,高,承認済
B0532,2025-04-06,E105,P003,コスト変更,高,申請中
B0533,2025-10-20,E108,P002,図面修正,中,却下
B0534,2025-09-16,E102,P001,図面修正,中,承認待ち
B0535,2025-07-07,E108,P002,仕様変更,中,承認済
B0536,2025-08-18,E106,P003,図面修正,中,承認済
B0537,2025-03-01,E105,P005,部品変更,高,承認済
B0538,2025-01-26,E106,P005,図面修正,低,承認待ち
B0539,2025-03-04,E103,P006,部品変更,中,申請中
B0540,2025-04-19,E106,P003,部品変更,高,承認待ち
B0541,2025-10-11,E105,P005,仕様変更,低,承認済
B0542,2025-10-19,E103,P005,部品変更,中,承認済
B0543,2025-03-16,E102,P001,仕様変更,高,承認待ち
B0544,2025-01-17,E106,P001,図面修正,低,承認待ち
B0545,2025-03-11,E103,P003,仕様変更,高,承認待ち
B0546,2025-10-23,E103,P001,図面修正,高,承認済
B0547,2025-12-22,E106,P005,仕様変更,中,承認済
B0548,2025-06-05,E103,P006,コスト変更,低,却下
B0549,2025-11-11,E103,P006,図面修正,高,承認待ち
B0550,2025-07-10,E105,P002,部品変更,低,申請中
B0551,2025-12-19,E106,P005,仕様変更,高,承認済
B0552,2025-10-08,E108,P001,コスト変更,高,承認済
B0553,2025-12-03,E103,P003,図面修正,高,申請中
B0554,2025-12-22,E105,P004,仕様変更,中,承認待ち
B0555,2025-04-23,E102,P003,図面修正,高,申請中
B0556,2025-01-13,E106,P006,コスト変更,高,却下
B0557,2025-08-13,E105,P005,コスト変更,高,却下
B0558,2025-10-21,E103,P002,コスト変更,高,申請中
B0559,2025-05-01,E105,P003,仕様変更,高,承認済
B0560,2025-03-13,E103,P006,仕様変更,低,申請中
B0561,2025-06-20,E108,P004,仕様変更,中,承認待ち
B0562,2025-10-14,E103,P001,仕様変更,中,承認待ち
B0563,2025-04-14,E108,P006,図面修正,低,承認済
B0564,2025-05-08,E102,P001,コスト変更,低,却下
B0565,2025-03-02,E105,P001,コスト変更,高,承認済
B0566,2025-11-21,E108,P004,部品変更,高,申請中
B0567,2025-04-06,E105,P001,コスト変更,高,承認済
B0568,2025-07-16,E106,P006,図面修正,高,却下
B0569,2025-03-12,E106,P003,部品変更,中,申請中
B0570,2025-05-15,E106,P003,部品変更,中,申請中
B0571,2025-03-25,E102,P001,図面修正,低,却下
B0572,2025-10-08,E108,P001,コスト変更,低,却下
B0573,2025-09-22,E106,P005,部品変更,中,承認済
B0574,2025-02-13,E102,P005,部品変更,高,却下
B0575,2025-03-06,E103,P002,部品変更,高,却下
B0576,2025-02-22,E106,P002,部品変更,低,承認済
B0577,2025-06-24,E102,P001,コスト変更,低,却下
B0578,2025-09-11,E105,P005,コスト変更,高,却下
B0579,2025-02-14,E103,P002,仕様変更,高,申請中
B0580,2025-05-28,E108,P003,コスト変更,中,却下
B0581,2025-11-16,E108,P005,コスト変更,高,承認待ち
B0582,2025-05-13,E103,P005,コスト変更,高,却下
B0583,2025-06-23,E103,P001,コスト変更,中,承認済
B0584,2025-01-11,E105,P003,図面修正,中,申請中
B0585,2025-04-05,E105,P006,コスト変更,中,承認済
B0586,2025-12-14,E108,P006,仕様変更,高,却下
B0587,2025-04-27,E106,P006,コスト変更,低,承認済
B0588,2025-01-17,E103,P001,図面修正,低,却下
B0589,2025-03-25,E108,P005,仕様変更,高,承認待ち
B0590,2025-04-27,E102,P002,仕様変更,中,申請中
B0591,2025-06-23,E103,P003,図面修正,中,却下
B0592,2025-11-04,E102,P002,図面修正,中,却下
B0593,2025-03-28,E106,P005,図面修正,中,承認待ち
B0594,2025-05-24,E102,P003,仕様変更,中,申請中
B0595,2025-03-28,E108,P002,部品変更,低,承認待ち
B0596,2025-11-07,E105,P006,コスト変更,低,申請中
B0597,2025-11-01,E106,P002,部品変更,低,申請中
B0598,2025-04-09,E108,P003,図面修正,中,却下
B0599,2025-06-15,E105,P002,コスト変更,中,却下
B0600,2025-10-04,E102,P005,図面修正,低,承認済
B0601,2025-05-22,E102,P004,仕様変更,中,承認済
B0602,2025-11-11,E105,P003,図面修正,高,承認待ち
B0603,2025-09-25,E103,P001,コスト変更,低,承認済
B0604,2025-11-05,E102,P006,コスト変更,中,承認済
B0605,2025-07-13,E106,P006,仕様変更,低,承認待ち
B0606,2025-06-24,E103,P006,コスト変更,低,承認済
B0607,2025-09-10,E103,P006,部品変更,中,申請中
B0608,2025-08-05,E105,P006,部品変更,低,承認済
B0609,2025-11-03,E103,P003,部品変更,低,承認済
B0610,2025-07-26,E105,P003,図面修正,低,承認済
B0611,2025-08-28,E102,P004,仕様変更,低,申請中
B0612,2025-08-07,E108,P001,コスト変更,低,承認済
B0613,2025-07-02,E103,P002,部品変更,中,却下
B0614,2025-10-15,E103,P003,部品変更,高,却下
B0615,2025-06-21,E103,P003,仕様変更,高,却下
B0616,2025-05-07,E103,P005,部品変更,中,申請中
B0617,2025-03-20,E106,P006,コスト変更,中,却下
B0618,2025-08-13,E102,P001,部品変更,低,承認済
B0619,2025-01-11,E108,P002,仕様変更,低,申請中
B0620,2025-11-24,E103,P002,図面修正,中,承認待ち
B0621,2025-02-13,E108,P005,図面修正,高,申請中
B0622,2025-01-10,E105,P004,図面修正,中,承認待ち
B0623,2025-06-16,E105,P002,部品変更,中,申請中
B0624,2025-04-08,E103,P002,仕様変更,低,承認待ち
B0625,2025-02-12,E102,P004,図面修正,低,申請中
B0626,2025-10-02,E102,P006,仕様変更,高,申請中
B0627,2025-07-15,E106,P001,図面修正,中,承認待ち
B0628,2025-04-23,E102,P003,コスト変更,低,申請中
B0629,2025-11-17,E105,P005,部品変更,中,申請中
B0630,2025-09-24,E108,P001,図面修正,高,申請中
B0631,2025-08-07,E108,P002,図面修正,低,承認待ち
B0632,2025-06-23,E106,P003,部品変更,高,却下
B0633,2025-04-23,E106,P003,部品変更,高,申請中
B0634,2025-11-03,E102,P005,コスト変更,高,申請中
B0635,2025-09-03,E102,P003,部品変更,中,承認済
B0636,2025-05-15,E102,P001,部品変更,高,承認済
B0637,2025-06-26,E105,P004,仕様変更,高,申請中
B0638,2025-01-28,E103,P006,部品変更,中,承認済
B0639,2025-08-20,E105,P006,仕様変更,中,承認済
B0640,2025-03-04,E106,P004,コスト変更,中,却下
B0641,2025-12-28,E106,P004,部品変更,高,承認待ち
B0642,2025-12-24,E102,P002,仕様変更,中,却下
B0643,2025-10-22,E106,P002,コスト変更,中,申請中
B0644,2025-11-27,E103,P004,コスト変更,高,却下
B0645,2025-08-02,E102,P003,図面修正,高,承認待ち
B0646,2025-11-28,E105,P005,仕様変更,中,承認待ち
B0647,2025-08-12,E106,P002,仕様変更,高,承認待ち
B0648,2025-09-28,E106,P004,部品変更,高,却下
B0649,2025-06-08,E105,P003,仕様変更,低,承認待ち
B0650,2025-09-21,E106,P004,部品変更,高,却下
B0651,2025-08-26,E108,P004,仕様変更,中,却下
B0652,2025-06-04,E106,P006,仕様変更,高,却下
B0653,2025-07-02,E108,P005,仕様変更,高,承認済
B0654,2025-09-18,E103,P006,コスト変更,中,承認済
B0655,2025-01-27,E103,P004,図面修正,低,却下
B0656,2025-12-22,E105,P006,コスト変更,高,申請中
B0657,2025-11-08,E102,P003,図面修正,低,承認済
B0658,2025-09-17,E105,P006,仕様変更,高,承認待ち
B0659,2025-08-05,E106,P001,図面修正,低,承認待ち
B0660,2025-04-04,E106,P002,コスト変更,高,承認済
B0661,2025-02-25,E106,P001,仕様変更,中,却下
B0662,2025-11-19,E108,P002,コスト変更,高,申請中
B0663,2025-09-14,E108,P004,部品変更,低,承認待ち
B0664,2025-12-27,E103,P001,コスト変更,低,承認済
B0665,2025-09-13,E106,P005,部品変更,中,却下
B0666,2025-06-10,E106,P002,部品変更,中,承認済
B0667,2025-12-18,E105,P006,部品変更,高,承認待ち
B0668,2025-10-23,E105,P006,図面修正,低,承認待ち
B0669,2025-12-21,E103,P005,図面修正,低,申請中
B0670,2025-06-18,E106,P005,コスト変更,低,承認済
B0671,2025-07-26,E102,P005,仕様変更,高,却下
B0672,2025-03-02,E102,P002,図面修正,高,承認済
B0673,2025-11-09,E103,P001,図面修正,高,申請中
B0674,2025-06-27,E106,P001,部品変更,低,却下
B0675,2025-04-17,E105,P006,仕様変更,中,却下
B0676,2025-07-26,E105,P005,仕様変更,高,承認済
B0677,2025-04-20,E106,P002,図面修正,低,承認待ち
B0678,2025-12-07,E105,P004,部品変更,低,申請中
B0679,2025-03-06,E108,P001,コスト変更,高,却下
B0680,2025-05-18,E105,P002,部品変更,低,承認済
B0681,2025-01-11,E106,P006,部品変更,高,承認待ち
B0682,2025-06-20,E102,P006,図面修正,中,承認済
B0683,2025-02-26,E105,P005,部品変更,高,申請中
B0684,2025-09-06,E106,P005,コスト変更,高,承認済
B0685,2025-04-07,E105,P003,図面修正,中,承認待ち
B0686,2025-10-17,E106,P005,仕様変更,高,承認済
B0687,2025-08-08,E108,P005,部品変更,高,承認済
B0688,2025-07-26,E102,P004,図面修正,低,承認済
B0689,2025-01-17,E105,P005,コスト変更,中,申請中
B0690,2025-05-21,E103,P003,仕様変更,高,承認待ち
B0691,2025-09-18,E102,P006,仕様変更,高,承認待ち
B0692,2025-11-14,E102,P002,コスト変更,低,申請中
B0693,2025-12-22,E103,P001,コスト変更,低,承認済
B0694,2025-01-03,E102,P001,部品変更,中,申請中
B0695,2025-10-27,E103,P003,コスト変更,中,却下
B0696,2025-11-13,E106,P003,仕様変更,中,申請中
B0697,2025-09-01,E108,P001,仕様変更,低,申請中
B0698,2025-06-17,E102,P003,図面修正,低,申請中
B0699,2025-05-25,E106,P004,コスト変更,低,申請中
B0700,2025-08-06,E108,P002,部品変更,低,却下
B0701,2025-09-10,E103,P003,図面修正,高,承認待ち
B0702,2025-02-02,E102,P005,コスト変更,低,申請中
B0703,2025-05-07,E105,P002,コスト変更,低,承認待ち
B0704,2025-03-06,E103,P005,図面修正,高,申請中
B0705,2025-03-22,E108,P001,コスト変更,低,申請中
B0706,2025-05-22,E102,P003,仕様変更,高,却下
B0707,2025-06-12,E103,P006,部品変更,高,承認済
B0708,2025-10-03,E103,P003,コスト変更,中,承認済
B0709,2025-10-22,E105,P006,部品変更,低,承認済
B0710,2025-06-14,E103,P001,図面修正,高,承認待ち
B0711,2025-12-24,E106,P003,図面修正,高,承認済
B0712,2025-08-15,E106,P003,図面修正,中,申請中
B0713,2025-03-21,E108,P001,図面修正,高,承認待ち
B0714,2025-05-24,E102,P006,仕様変更,高,申請中
B0715,2025-10-19,E106,P005,部品変更,高,承認済
B0716,2025-09-18,E106,P006,部品変更,中,却下
B0717,2025-04-25,E108,P006,図面修正,高,却下
B0718,2025-09-17,E102,P004,図面修正,低,申請中
B0719,2025-11-08,E108,P006,部品変更,低,承認待ち
B0720,2025-08-06,E103,P005,部品変更,低,却下
B0721,2025-06-02,E103,P004,部品変更,高,承認済
B0722,2025-06-08,E102,P006,部品変更,低,承認済
B0723,2025-07-16,E106,P001,仕様変更,低,承認済
B0724,2025-02-23,E108,P006,図面修正,低,承認済
B0725,2025-10-18,E108,P002,コスト変更,低,却下
B0726,2025-06-19,E102,P005,図面修正,中,承認待ち
B0727,2025-09-13,E105,P003,コスト変更,中,申請中
B0728,2025-09-05,E106,P002,部品変更,高,承認済
B0729,2025-04-05,E103,P002,図面修正,低,申請中
B0730,2025-11-08,E106,P003,仕様変更,中,却下
B0731,2025-08-07,E108,P002,コスト変更,高,承認待ち
B0732,2025-01-05,E108,P005,部品変更,高,申請中
B0733,2025-10-05,E102,P002,図面修正,高,却下
B0734,2025-10-19,E102,P006,図面修正,高,承認待ち
B0735,2025-08-20,E106,P004,部品変更,高,却下
B0736,2025-10-05,E108,P002,図面修正,高,承認済
B0737,2025-08-20,E108,P001,部品変更,中,却下
B0738,2025-03-04,E102,P002,コスト変更,高,申請中
B0739,2025-03-16,E108,P005,仕様変更,低,申請中
B0740,2025-02-16,E103,P005,仕様変更,低,却下
B0741,2025-09-14,E105,P001,コスト変更,高,却下
B0742,2025-07-12,E108,P006,仕様変更,中,承認待ち
B0743,2025-05-16,E103,P001,図面修正,低,却下
B0744,2025-05-07,E102,P006,仕様変更,低,申請中
B0745,2025-09-01,E106,P006,部品変更,低,承認済
B0746,2025-07-12,E102,P002,コスト変更,低,承認済
B0747,2025-05-28,E108,P004,図面修正,低,承認済
B0748,2025-11-13,E103,P004,コスト変更,高,承認済
B0749,2025-09-18,E106,P003,図面修正,低,承認済
B0750,2025-12-13,E103,P006,仕様変更,低,承認待ち
B0751,2025-08-26,E103,P001,部品変更,低,却下
B0752,2025-06-26,E108,P005,仕様変更,高,却下
B0753,2025-11-01,E102,P002,コスト変更,低,却下
B0754,2025-02-03,E105,P002,図面修正,高,申請中
B0755,2025-12-13,E106,P005,図面修正,低,申請中
B0756,2025-03-21,E106,P004,仕様変更,高,承認済
B0757,2025-04-02,E108,P005,部品変更,低,承認待ち
B0758,2025-11-02,E105,P002,仕様変更,高,申請中
B0759,2025-05-25,E106,P003,コスト変更,中,承認待ち
B0760,2025-09-01,E102,P001,図面修正,低,承認済
B0761,2025-06-27,E105,P002,部品変更,中,却下
B0762,2025-10-01,E105,P002,コスト変更,低,申請中
B0763,2025-09-03,E108,P003,図面修正,高,承認済
B0764,2025-09-27,E108,P003,コスト変更,中,却下
B0765,2025-04-25,E105,P004,コスト変更,低,申請中
B0766,2025-08-04,E105,P001,コスト変更,低,承認待ち
B0767,2025-11-23,E103,P003,コスト変更,中,申請中
B0768,2025-12-27,E105,P002,図面修正,高,却下
B0769,2025-11-24,E105,P001,部品変更,中,承認済
B0770,2025-06-07,E108,P003,部品変更,低,承認待ち
B0771,2025-08-24,E103,P002,部品変更,中,承認待ち
B0772,2025-04-07,E103,P005,図面修正,高,申請中
B0773,2025-02-03,E106,P005,仕様変更,低,申請中
B0774,2025-08-12,E108,P003,コスト変更,低,承認済
B0775,2025-08-06,E108,P003,コスト変更,高,承認待ち
B0776,2025-01-17,E106,P004,仕様変更,低,承認済
B0777,2025-07-28,E103,P004,仕様変更,低,却下
B0778,2025-06-23,E102,P001,部品変更,中,申請中
B0779,2025-06-12,E108,P003,部品変更,低,承認済
B0780,2025-04-09,E106,P005,図面修正,中,承認待ち
B0781,2025-08-14,E103,P004,図面修正,中,却下
B0782,2025-05-15,E103,P005,部品変更,低,承認待ち
B0783,2025-02-24,E105,P002,コスト変更,中,承認待ち
B0784,2025-03-26,E103,P004,仕様変更,高,却下
B0785,2025-08-05,E108,P005,図面修正,中,承認済
B0786,2025-05-18,E108,P001,コスト変更,高,承認待ち
B0787,2025-01-07,E105,P004,仕様変更,中,承認済
B0788,2025-05-12,E105,P005,図面修正,中,申請中
B0789,2025-07-04,E105,P006,部品変更,低,承認待ち
B0790,2025-05-12,E105,P006,コスト変更,低,却下
B0791,2025-02-13,E108,P003,コスト変更,低,承認待ち
B0792,2025-03-21,E105,P004,コスト変更,高,申請中
B0793,2025-03-11,E103,P003,図面修正,低,承認済
B0794,2025-12-09,E108,P006,コスト変更,中,却下
B0795,2025-06-24,E108,P005,コスト変更,中,承認待ち
B0796,2025-03-28,E102,P002,部品変更,低,承認済
B0797,2025-12-23,E102,P002,部品変更,中,申請中
B0798,2025-02-03,E106,P005,仕様変更,高,却下
B0799,2025-09-25,E102,P001,図面修正,低,承認待ち
B0800,2025-02-21,E106,P003,部品変更,高,承認済
B0801,2025-08-21,E103,P002,部品変更,高,申請中
B0802,2025-11-12,E105,P004,コスト変更,低,承認済
B0803,2025-09-15,E103,P006,部品変更,低,却下
B0804,2025-11-24,E108,P004,図面修正,中,却下
B0805,2025-09-08,E102,P004,図面修正,中,却下
B0806,2025-05-05,E105,P001,仕様変更,低,承認待ち
B0807,2025-06-10,E106,P005,仕様変更,低,却下
B0808,2025-08-10,E102,P004,図面修正,低,承認待ち
B0809,2025-01-18,E105,P002,コスト変更,低,却下
B0810,2025-07-08,E103,P006,コスト変更,中,承認待ち
B0811,2025-05-03,E106,P006,部品変更,低,承認済
B0812,2025-05-21,E108,P003,コスト変更,高,申請中
B0813,2025-03-05,E105,P001,コスト変更,低,却下
B0814,2025-05-23,E108,P004,部品変更,中,申請中
B0815,2025-03-02,E108,P001,部品変更,高,承認済
B0816,2025-05-05,E106,P006,仕様変更,高,申請中
B0817,2025-03-01,E106,P002,図面修正,中,承認済
B0818,2025-08-12,E106,P006,仕様変更,中,申請中
B0819,2025-03-02,E105,P004,仕様変更,低,却下
B0820,2025-03-07,E105,P004,仕様変更,高,承認待ち
B0821,2025-07-25,E106,P002,仕様変更,高,却下
B0822,2025-12-25,E102,P005,部品変更,中,却下
B0823,2025-11-10,E105,P002,仕様変更,低,申請中
B0824,2025-05-16,E105,P002,図面修正,高,承認待ち
B0825,2025-02-08,E106,P003,仕様変更,高,承認済
B0826,2025-10-04,E106,P002,仕様変更,高,却下
B0827,2025-12-20,E103,P003,仕様変更,高,承認待ち
B0828,2025-08-03,E108,P003,仕様変更,高,承認済
B0829,2025-11-05,E108,P001,部品変更,中,承認待ち
B0830,2025-06-18,E105,P004,部品変更,高,却下
B0831,2025-06-24,E103,P003,仕様変更,中,却下
B0832,2025-09-10,E108,P006,コスト変更,高,承認待ち
B0833,2025-09-12,E105,P006,コスト変更,中,承認待ち
B0834,2025-02-17,E103,P004,図面修正,中,承認済
B0835,2025-08-01,E108,P004,部品変更,高,承認済
B0836,2025-10-08,E105,P006,仕様変更,低,却下
B0837,2025-04-17,E106,P005,部品変更,低,承認済
B0838,2025-06-14,E105,P001,仕様変更,低,申請中
B0839,2025-01-27,E103,P002,仕様変更,高,申請中
B0840,2025-08-07,E102,P001,コスト変更,低,却下
B0841,2025-09-20,E108,P003,仕様変更,中,承認待ち
B0842,2025-10-23,E102,P001,部品変更,低,却下
B0843,2025-02-15,E102,P003,コスト変更,中,申請中
B0844,2025-10-09,E108,P001,仕様変更,中,申請中
B0845,2025-04-17,E102,P001,部品変更,低,却下
B0846,2025-04-07,E108,P006,部品変更,低,承認待ち
B0847,2025-09-24,E108,P004,仕様変更,低,承認済
B0848,2025-11-15,E106,P001,部品変更,高,却下
B0849,2025-09-11,E103,P005,コスト変更,中,承認済
B0850,2025-09-11,E105,P004,コスト変更,低,承認済
B0851,2025-10-08,E108,P005,部品変更,中,承認済
B0852,2025-06-15,E106,P004,仕様変更,低,申請中
B0853,2025-05-20,E102,P005,部品変更,中,申請中
B0854,2025-05-08,E103,P003,仕様変更,低,承認済
B0855,2025-09-17,E108,P005,部品変更,高,申請中
B0856,2025-08-12,E103,P002,図面修正,中,承認待ち
B0857,2025-04-09,E105,P001,コスト変更,低,承認待ち
B0858,2025-12-03,E105,P004,部品変更,中,申請中
B0859,2025-10-21,E105,P001,コスト変更,高,申請中
B0860,2025-06-12,E106,P004,仕様変更,高,申請中
B0861,2025-11-25,E106,P001,図面修正,低,申請中
B0862,2025-06-18,E108,P002,図面修正,低,承認待ち
B0863,2025-03-02,E106,P004,仕様変更,高,却下
B0864,2025-05-26,E106,P002,部品変更,中,申請中
B0865,2025-08-19,E102,P005,コスト変更,中,申請中
B0866,2025-07-17,E106,P006,部品変更,高,却下
B0867,2025-09-07,E106,P004,部品変更,低,承認待ち
B0868,2025-04-03,E105,P004,図面修正,低,申請中
B0869,2025-02-22,E106,P004,図面修正,中,承認待ち
B0870,2025-06-12,E108,P006,仕様変更,中,承認待ち
B0871,2025-06-20,E106,P005,部品変更,中,申請中
B0872,2025-04-07,E105,P002,仕様変更,高,申請中
B0873,2025-04-20,E103,P003,仕様変更,中,申請中
B0874,2025-05-15,E106,P001,図面修正,高,承認待ち
B0875,2025-04-18,E108,P003,コスト変更,低,承認待ち
B0876,2025-12-23,E102,P004,仕様変更,中,承認待ち
B0877,2025-01-10,E103,P006,図面修正,高,却下
B0878,2025-11-01,E102,P004,図面修正,低,承認済
B0879,2025-02-01,E105,P006,コスト変更,高,却下
B0880,2025-09-23,E102,P003,コスト変更,低,申請中
B0881,2025-03-07,E108,P004,仕様変更,高,承認待ち
B0882,2025-09-10,E105,P004,コスト変更,低,承認待ち
B0883,2025-01-12,E105,P003,図面修正,高,承認済
B0884,2025-01-21,E105,P004,仕様変更,低,承認済
B0885,2025-04-05,E105,P004,部品変更,高,却下
B0886,2025-09-22,E108,P006,部品変更,中,承認待ち
B0887,2025-10-05,E106,P003,図面修正,中,承認待ち
B0888,2025-04-21,E103,P005,部品変更,高,承認済
B0889,2025-12-23,E108,P002,コスト変更,高,承認待ち
B0890,2025-06-03,E108,P005,仕様変更,高,承認済
B0891,2025-03-24,E102,P003,コスト変更,中,承認済
B0892,2025-08-24,E105,P002,部品変更,高,承認待ち
B0893,2025-03-01,E108,P005,図面修正,低,承認待ち
B0894,2025-10-08,E103,P006,仕様変更,中,申請中
B0895,2025-12-25,E106,P002,コスト変更,低,承認済
B0896,2025-03-28,E106,P004,コスト変更,高,承認待ち
B0897,2025-04-08,E102,P004,仕様変更,中,却下
B0898,2025-04-24,E103,P002,仕様変更,高,却下
B0899,2025-10-16,E105,P004,部品変更,中,却下
B0900,2025-01-20,E106,P006,図面修正,中,申請中
B0901,2025-09-04,E106,P004,仕様変更,高,却下
B0902,2025-12-02,E108,P004,仕様変更,高,承認済
B0903,2025-08-13,E105,P003,コスト変更,高,却下
B0904,2025-05-20,E102,P006,部品変更,中,却下
B0905,2025-02-24,E108,P001,部品変更,低,承認待ち
B0906,2025-07-14,E105,P004,仕様変更,高,却下
B0907,2025-10-23,E103,P004,仕様変更,中,承認済
B0908,2025-12-21,E103,P006,仕様変更,高,申請中
B0909,2025-12-15,E105,P001,コスト変更,低,承認待ち
B0910,2025-07-18,E106,P001,部品変更,中,承認待ち
B0911,2025-03-28,E103,P002,仕様変更,中,承認済
B0912,2025-05-24,E106,P003,部品変更,高,承認待ち
B0913,2025-04-01,E108,P003,仕様変更,中,却下
B0914,2025-08-18,E102,P005,コスト変更,高,承認待ち
B0915,2025-10-22,E106,P004,コスト変更,中,申請中
B0916,2025-10-20,E102,P002,図面修正,低,承認待ち
B0917,2025-01-06,E103,P001,図面修正,高,承認待ち
B0918,2025-01-22,E108,P005,図面修正,中,申請中
B0919,2025-01-04,E106,P002,部品変更,低,承認済
B0920,2025-10-22,E108,P005,部品変更,中,承認済
B0921,2025-01-03,E105,P003,図面修正,中,申請中
B0922,2025-07-27,E108,P001,図面修正,中,承認待ち
B0923,2025-02-23,E105,P003,コスト変更,低,承認待ち
B0924,2025-12-07,E108,P001,仕様変更,低,申請中
B0925,2025-08-24,E108,P006,図面修正,中,承認済
B0926,2025-05-17,E108,P005,図面修正,高,却下
B0927,2025-09-24,E106,P004,部品変更,低,承認待ち
B0928,2025-12-10,E103,P001,仕様変更,高,却下
B0929,2025-11-26,E102,P006,部品変更,低,却下
B0930,2025-07-02,E105,P003,部品変更,高,承認待ち
B0931,2025-12-10,E105,P001,図面修正,中,承認済
B0932,2025-01-04,E105,P003,コスト変更,低,申請中
B0933,2025-03-07,E105,P003,コスト変更,中,申請中
B0934,2025-11-05,E106,P002,コスト変更,低,承認済
B0935,2025-08-26,E106,P006,仕様変更,低,承認済
B0936,2025-10-24,E105,P005,仕様変更,高,承認済
B0937,2025-06-03,E103,P003,仕様変更,中,却下
B0938,2025-11-18,E103,P005,コスト変更,高,申請中
B0939,2025-05-23,E105,P006,仕様変更,中,却下
B0940,2025-02-16,E103,P003,コスト変更,中,承認待ち
B0941,2025-09-10,E103,P001,図面修正,高,承認待ち
B0942,2025-02-15,E108,P001,コスト変更,低,承認待ち
B0943,2025-04-11,E106,P006,図面修正,中,承認待ち
B0944,2025-02-27,E108,P006,部品変更,高,申請中
B0945,2025-08-13,E108,P001,仕様変更,中,申請中
B0946,2025-11-28,E108,P001,図面修正,中,申請中
B0947,2025-02-17,E105,P001,図面修正,低,承認待ち
B0948,2025-06-07,E103,P003,図面修正,低,承認済
B0949,2025-08-22,E102,P003,部品変更,高,承認済
B0950,2025-02-01,E108,P005,仕様変更,高,承認済
B0951,2025-09-11,E105,P002,図面修正,低,承認待ち
B0952,2025-03-03,E105,P005,図面修正,低,却下
B0953,2025-01-05,E102,P004,仕様変更,高,却下
B0954,2025-01-03,E106,P004,部品変更,低,却下
B0955,2025-10-12,E105,P003,部品変更,低,申請中
B0956,2025-08-19,E103,P001,コスト変更,高,却下
B0957,2025-05-22,E106,P004,部品変更,高,承認待ち
B0958,2025-10-09,E105,P004,部品変更,低,承認済
B0959,2025-06-15,E106,P001,仕様変更,中,申請中
B0960,2025-06-16,E106,P002,図面修正,中,承認待ち
B0961,2025-09-04,E106,P006,仕様変更,中,申請中
B0962,2025-05-18,E106,P004,コスト変更,高,承認待ち
B0963,2025-09-06,E106,P004,仕様変更,中,承認待ち
B0964,2025-12-19,E106,P004,図面修正,低,承認待ち
B0965,2025-03-22,E102,P006,コスト変更,高,却下
B0966,2025-06-18,E102,P004,部品変更,中,却下
B0967,2025-02-20,E102,P006,コスト変更,中,却下
B0968,2025-11-22,E102,P001,部品変更,高,申請中
B0969,2025-03-22,E103,P004,図面修正,中,却下
